,Zip,City,County,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Change
0,78660,Pflugerville,Travis County,0.6,-2.6,8.1,1.1,2.2,0.6,-0.8,6.3,-1.4,3.3,4.8,0.1,-2.0,0.6,-3.4,2.3,4.1,6.6,9.0,9.7,6.8,4.4,60.4
1,78613,Cedar Park,Williamson County,12.6,8.0,-7.0,1.1,-1.0,0.1,-10.5,4.1,8.2,2.8,4.2,-1.6,-1.3,-1.9,-0.8,5.3,3.4,14.2,4.6,10.4,4.3,2.8,61.999999999999986
2,78704,Austin,Travis County,16.5,-7.3,7.5,19.2,1.4,-6.7,-4.9,12.9,5.8,6.5,1.9,-4.2,-3.8,0.7,-0.3,10.3,9.5,11.4,8.5,1.1,2.8,11.3,100.1
3,78666,San Marcos,Hays County,3.5,1.6,5.0,3.5,1.7,1.8,0.9,7.0,5.1,4.5,0.8,-2.0,-2.1,2.1,-4.9,5.8,-0.4,10.3,8.6,11.5,3.6,7.0,74.89999999999998
4,78745,Austin,Travis County,-3.7,3.6,-0.4,6.3,4.0,-3.6,0.5,4.8,0.9,4.4,5.1,2.6,-0.3,2.7,-3.8,3.6,10.6,5.6,17.5,11.7,7.3,8.8,88.19999999999999
5,78641,Leander,Williamson County,-0.2,3.8,3.3,5.8,1.6,2.3,-21.9,12.1,7.1,4.9,3.1,-2.1,-2.0,-0.5,-4.1,2.6,7.7,9.9,5.7,12.1,5.7,3.5,60.400000000000006
6,78758,Austin,Travis County,-5.8,2.5,4.0,5.6,3.6,-2.5,-1.7,1.6,5.8,2.1,2.0,-1.0,-0.8,1.6,-5.8,3.4,10.3,9.4,13.0,25.4,2.3,17.6,92.6
7,78741,Austin,Travis County,8.9,5.3,1.6,7.4,2.2,2.7,-2.7,10.5,7.8,-1.7,5.3,-2.0,-3.2,-0.2,-1.2,6.3,-0.5,9.3,16.9,22.3,3.1,15.9,113.99999999999999
8,78748,Austin,Travis County,-17.9,10.6,-6.1,1.7,3.0,1.3,-1.0,4.9,-1.0,3.5,7.9,-1.1,-0.1,-0.1,-2.9,1.7,9.5,7.7,11.9,6.6,5.7,6.5,52.300000000000004
9,78664,Round Rock,Williamson County,0.6,-1.3,5.4,3.1,2.5,0.3,-4.9,-2.9,5.9,1.7,5.1,-3.6,-2.4,-0.7,-1.9,2.1,5.4,11.2,9.3,9.0,4.8,11.0,59.7
10,78753,Austin,Travis County,1.0,3.3,3.2,6.2,2.9,2.3,-2.9,2.1,3.0,4.3,3.0,-4.4,1.8,0.7,-7.1,2.6,9.8,8.7,10.7,19.2,8.0,10.5,88.9
11,78759,Austin,Travis County,-3.4,-13.5,3.9,8.1,-0.2,-2.4,-1.2,5.8,-0.5,7.8,8.4,-3.0,-2.3,1.2,-2.4,4.1,7.3,12.2,9.2,8.1,2.0,5.1,54.300000000000004
12,78640,Kyle,Hays County,7.7,2.7,8.6,-3.5,-1.8,7.2,4.0,3.1,2.7,-0.7,4.4,-3.0,-1.3,-2.1,-3.6,2.8,4.3,11.4,6.2,9.6,4.6,5.4,68.7
13,78681,Round Rock,Williamson County,6.7,0.8,0.2,2.0,-0.8,-0.1,1.4,-3.6,6.1,1.4,2.6,-1.7,-1.2,-0.7,1.4,1.6,12.0,7.8,4.9,8.4,2.6,6.5,58.3
14,78665,Round Rock,Williamson County,1.2,-3.3,4.3,3.6,4.0,1.1,-16.8,5.6,16.7,7.5,1.3,-3.6,-3.3,-0.5,-0.9,3.7,4.6,6.9,11.4,7.3,1.1,5.5,57.39999999999999
15,78744,Austin,Travis County,0.4,-1.6,4.2,8.3,5.8,3.1,-2.2,2.3,3.8,5.1,7.7,-5.6,-1.3,3.1,-11.2,7.4,6.2,7.6,15.9,10.8,16.7,10.3,96.80000000000001
16,78749,Austin,Travis County,-9.5,-15.5,-9.7,1.6,0.6,-3.8,0.9,5.6,-1.1,4.4,7.8,0.2,1.3,-3.2,0.7,5.4,9.4,7.8,6.1,11.8,3.1,8.9,32.800000000000004
17,78610,Buda,Hays County,1.7,-0.2,2.4,2.8,2.5,2.1,-2.9,-2.0,6.9,5.8,7.1,-0.8,-1.0,-3.4,0.5,2.4,4.4,11.3,8.1,7.5,1.8,7.3,64.3
18,78723,Austin,Travis County,6.1,6.3,21.2,25.9,2.8,-11.5,16.8,0.6,0.8,7.2,6.8,-2.8,0.7,-0.0,-3.7,5.7,16.5,6.8,10.8,12.1,8.3,7.8,145.20000000000002
19,78628,Georgetown,Williamson County,7.2,3.0,0.9,1.7,-0.7,-0.7,3.6,0.7,5.9,6.8,1.9,-0.6,-5.3,-1.0,2.7,3.6,7.2,4.2,9.4,7.9,1.6,6.0,66.0
20,78729,Austin,Travis County,4.2,1.4,-3.2,3.9,2.0,-0.3,-6.9,0.5,3.1,10.2,2.2,-0.8,1.1,0.1,-3.6,2.5,5.7,14.3,6.0,11.8,5.5,3.8,63.5
