,Zip,City,County,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,78660,Pflugerville,Travis County,141350.0,139450.0,140566.67,142641.67,144238.33,145859.72,146739.29,148276.04,149708.33,150928.33,152575.0,154346.53,155595.51,156675.6,157378.89,157928.65,158752.94,160013.89,161915.79,164554.58,167819.05,171329.92
1,78613,Cedar Park,Williamson County,177400.0,190275.0,191413.89,191252.08,191751.67,191351.39,190208.33,188685.42,188253.7,188871.67,190175.76,191388.89,192182.69,192698.81,192908.33,193429.69,194310.78,196270.37,199062.28,202527.5,206590.08,210606.06
2,78704,Austin,Travis County,231766.67,238454.17,235755.56,246779.17,257228.33,262805.56,264284.52,266792.71,271591.67,277550.0,283363.64,288044.44,290692.31,292794.05,294645.56,296928.65,301327.45,307261.11,314887.72,322679.17,330286.9,338649.62
3,78666,San Marcos,Hays County,103608.33,104229.17,106019.44,107870.83,109670.0,111070.83,112346.43,114105.21,116143.52,118396.67,120509.85,122465.28,123541.03,124656.55,125472.78,126218.23,127045.59,128168.98,129914.04,132295.42,135079.37,138239.02
4,78745,Austin,Travis County,134375.0,135033.33,134027.78,135904.17,138215.0,139668.06,140441.67,141410.42,142569.44,143990.83,145778.03,147980.56,149773.72,151635.12,152910.56,154148.44,156022.55,158441.2,161986.84,166688.75,172253.17,178095.08
5,78641,Leander,Williamson County,149366.67,152054.17,153730.56,156270.83,159443.33,162040.28,162203.57,160205.21,160542.59,161240.0,162852.27,164124.31,164902.56,165521.43,165666.67,165729.69,166346.57,167725.93,169812.72,172537.92,176030.95,179669.32
6,78758,Austin,Travis County,117683.33,117116.67,117841.67,119987.5,122450.0,124144.44,125071.43,125536.46,126446.3,127633.33,129088.64,130279.17,131135.26,131951.19,132487.78,132670.83,133483.33,135059.26,137432.46,141390.83,146266.67,151945.45
7,78741,Austin,Travis County,90341.67,94608.33,96213.89,98604.17,100893.33,102891.67,104282.14,105841.67,108277.78,110752.5,112619.7,114684.03,115994.87,116950.0,117724.44,118576.56,119557.35,120854.63,122928.07,126678.75,130867.86,135815.91
8,78748,Austin,Travis County,162000.0,161625.0,160763.89,160068.75,160110.0,161062.5,161617.86,162517.71,163567.59,164444.17,166285.61,168207.64,169704.49,171037.5,171917.22,172685.94,173943.14,176026.85,179066.67,182925.0,187001.19,191476.89
9,78664,Round Rock,Williamson County,132133.33,131537.5,132405.56,134339.58,136211.67,137941.67,138696.43,138235.42,138535.19,139045.0,139953.79,140772.22,141055.77,141332.74,141281.67,141304.69,141609.8,142488.43,144251.32,146665.83,149458.73,152782.58
